HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
"101 (Scot, Wales, NI)",101 (Eng),,BBC One,4 national HD & 17 regional SD variations (Virgin unavailable in CI or ScotB),?,?,BBC,24 hours,Player,,
108 (Eng),,,,On-demand,,,,,,,
757,,,TJC,,23,2302,The Jewellery Channel Ltd,24 hours,Player,,
,,,,,,,,,,,
International,,,,,,,,,,,
,,,,,,,,,,,
HD,SD,1,Channel name,Language/Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
,800,,Desi Entertainment,Service,21,2103,Eros International / Viacom 18 Media Pvt Ltd (Viacom/TV18),24 hours,,Asian Mela,
,800,,Eros Now,Hindi and other Indian languages,3,340,Eros International,24 hours,,Premium,
,,,,(Via Desi Entertainment),,,,,,,
,800,,Voot,Hindi and other Indian languages,3,332,Viacom 18 Media Pvt Ltd (Viacom/TV18),24 hours,,Premium,
,,,,(Via Desi Entertainment),,,,,,,
801,,,Utsav Gold,Hindi,16,1607,Star India (The Walt Disney Company India),24 hours,Asian Mela,,
,802,,Utsav Bharat,Hindi,10,1019,Star India (The Walt Disney Company India),24 hours,,Asian Mela,
803,,,Utsav Plus,Hindi,27,2707,Star India (The Walt Disney Company India),24 hours,Asian Mela,,
805,,,Sony Entertainment Television,Hindi,19,1907,Sony Pictures Television,24 hours,Asian Mela,,
806,,,Sony Max,Hindi,20,2007,Sony Pictures Television,24 hours,Asian Mela,,
,807,,Sony SAB,Hindi,5,513,Sony Pictures Television,24 hours,,Asian Mela,
,808,,Sony Max 2,Hindi,11,1119,Sony Pictures Television,24 hours,,Asian Mela,
,809,,Zee TV,Hindi,6,604,Zee Entertainment Enterprises,24 hours,,Asian Mela,
810,,,Zee Cinema,Hindi,29,2907,Zee Entertainment Enterprises,24 hours,Asian Mela,,
,815,,B4U Movies,Hindi,6,625,B4U,24 hours,,Asian Mela,
,816,,B4U Music,"Hindi, English & Arabic",6,626,B4U,24 hours,,Asian Mela,
826,,,Colors,Hindi,2,223,Viacom 18 Media Pvt Ltd (Viacom/TV18),24 hours,Asian Mela,,
,827,,Colors Rishtey,Hindi,7,716,Viacom 18 Media Pvt Ltd (Viacom/TV18),24 hours,,Asian Mela,
,828,,Colors Cineplex,Hindi,2,218,Viacom 18 Media Pvt Ltd (Viacom/TV18),24 hours,,Asian Mela,
,829,,NDTV Good Times,Hindi,10,1017,New Delhi Television Ltd,24 hours,,Asian Mela,
,,,,04:03,,,,,,,
,831,,Al Jazeera Arabic,Arabic,3,311,Al Jazeera,24 hours,,Player,
,837,,NDTV Spice,Hindi,10,1016,New Delhi Television Ltd,24 hours,,Asian Mela,
,,,,04:03,,,,,,,
,838,,Islam Channel,04:03,11,1122,Mohamed Ali Harrath,24 hours,,Player,
,839,,Islam Channel Urdu,Urdu,6,607,Islam Channel (Urdu) Ltd,24 hours,,Player,
,,,,,,,,,,,
Radio,,,,,,,,,,,
All radio channels are broadcast in SD audio.,,,,,,,,,,,
,,,,,,,,,,,
SD,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package,,,,
901,BBC Radio 1,On-Demand,22,2212,BBC,24 hours,Player,,,,
902,BBC Radio 2,On-Demand,22,2213,BBC,24 hours,Player,,,,
903,BBC Radio 3,On-Demand,22,2214,BBC,24 hours,Player,,,,
904,BBC Radio 4,On-Demand,22,2215,BBC,24 hours,Player,,,,
